Time,Conductivity (mS),Temperature (C)
16:46:16,0.916,22
0,0,0
0,0,0
16:46:18,0.916,22
0,0,0
0,0,0
16:46:20,0.916,22
0,0,0
0,0,0
16:46:22,0.916,22
0,0,0
0,0,0
16:46:24,0.916,22
0,0,0
0,0,0
16:46:26,0.916,22
0,0,0
0,0,0
16:46:28,0.916,22
0,0,0
0,0,0
16:46:30,0.916,22
0,0,0
0,0,0
16:46:32,0.916,22
0,0,0
0,0,0
16:46:34,0.916,22
0,0,0
0,0,0
16:46:36,0.916,22
0,0,0
0,0,0
16:46:38,0.915,22
0,0,0
0,0,0
16:46:40,0.915,22
0,0,0
0,0,0
16:46:42,0.915,22
0,0,0
0,0,0
16:46:44,0.915,22
0,0,0
0,0,0
16:46:46,0.915,22
0,0,0
0,0,0
16:46:48,0.916,22
0,0,0
0,0,0
16:46:50,0.916,22
0,0,0
0,0,0
16:46:52,0.916,22
0,0,0
0,0,0
16:46:54,0.916,22
0,0,0
0,0,0
16:46:56,0.916,22
0,0,0
0,0,0
16:46:58,0.916,21.9
0,0,0
0,0,0
16:47:00,0.916,22
0,0,0
0,0,0
16:47:02,0.916,21.9
0,0,0
0,0,0
16:47:04,0.916,21.9
0,0,0
0,0,0
16:47:06,0.917,21.9
0,0,0
0,0,0
16:47:08,0.917,21.9
0,0,0
0,0,0
16:47:10,0.917,21.9
0,0,0
0,0,0
16:47:12,0.917,21.9
0,0,0
0,0,0
16:47:14,0.917,21.9
0,0,0
0,0,0
16:47:16,0.917,21.9
0,0,0
0,0,0
16:47:18,0.917,21.9
0,0,0
0,0,0
16:47:20,0.918,21.9
0,0,0
0,0,0
16:47:22,0.917,21.9
0,0,0
0,0,0
16:47:24,0.917,21.9
0,0,0
0,0,0
16:47:26,0.917,21.9
0,0,0
0,0,0
16:47:28,0.917,21.9
0,0,0
0,0,0
16:47:30,0.917,21.9
0,0,0
0,0,0
16:47:32,0.917,21.9
0,0,0
0,0,0
16:47:34,0.917,21.9
0,0,0
0,0,0
16:47:36,0.917,21.9
0,0,0
0,0,0
16:47:38,0.917,21.9
0,0,0
0,0,0
16:47:40,0.917,21.9
0,0,0
0,0,0
16:47:42,0.917,21.9
0,0,0
0,0,0
16:47:44,0.917,21.9
0,0,0
0,0,0
16:47:46,0.917,21.9
0,0,0
0,0,0
16:47:48,0.917,21.9
0,0,0
0,0,0
16:47:50,0.917,22
0,0,0
0,0,0
16:47:52,0.916,22
0,0,0
0,0,0
16:47:54,0.916,22
0,0,0
0,0,0
16:47:56,0.916,21.9
0,0,0
0,0,0
16:47:58,0.916,21.9
0,0,0
0,0,0
16:48:00,0.916,22
0,0,0
0,0,0
16:48:02,0.916,21.9
0,0,0
0,0,0
16:48:04,0.916,22
0,0,0
0,0,0
16:48:06,0.916,21.9
0,0,0
0,0,0
16:48:08,0.916,21.9
0,0,0
0,0,0
16:48:10,0.916,21.9
0,0,0
0,0,0
16:48:12,0.916,21.9
0,0,0
0,0,0
16:48:14,0.916,21.9
0,0,0
0,0,0
16:48:16,0.916,21.9
0,0,0
0,0,0
16:48:18,0.916,21.9
0,0,0
0,0,0
16:48:20,0.916,21.9
0,0,0
0,0,0
16:48:22,0.916,21.9
0,0,0
0,0,0
16:48:24,0.917,21.9
0,0,0
0,0,0
16:48:26,0.917,21.9
0,0,0
0,0,0
16:48:28,0.917,21.9
0,0,0
0,0,0
16:48:30,0.917,21.9
0,0,0
0,0,0
16:48:32,0.917,21.9
0,0,0
0,0,0
16:48:34,0.916,21.9
0,0,0
0,0,0
16:48:36,0.916,21.9
0,0,0
0,0,0
16:48:38,0.916,21.9
0,0,0
0,0,0
16:48:40,0.916,21.9
0,0,0
0,0,0
16:48:42,0.916,21.9
0,0,0
0,0,0
16:48:44,0.916,21.9
0,0,0
0,0,0
16:48:46,0.916,21.9
0,0,0
0,0,0
16:48:48,0.916,21.9
0,0,0
0,0,0
16:48:50,0.916,21.9
0,0,0
0,0,0
16:48:52,0.916,21.9
0,0,0
0,0,0
16:48:54,0.916,21.9
0,0,0
0,0,0
16:48:56,0.916,21.9
0,0,0
0,0,0
16:48:58,0.916,21.9
0,0,0
0,0,0
16:49:00,0.916,21.9
0,0,0
0,0,0
16:49:02,0.916,21.9
0,0,0
0,0,0
16:49:04,0.916,21.9
0,0,0
0,0,0
16:49:06,0.916,21.9
0,0,0
0,0,0
16:49:08,0.916,21.9
0,0,0
0,0,0
16:49:10,0.916,21.9
0,0,0
0,0,0
16:49:12,0.916,21.9
0,0,0
0,0,0
16:49:14,0.916,21.9
0,0,0
0,0,0
16:49:16,0.916,21.9
0,0,0
0,0,0
16:49:18,0.916,21.9
0,0,0
0,0,0
16:49:20,0.916,21.9
0,0,0
0,0,0
16:49:22,0.916,21.9
0,0,0
0,0,0
16:49:24,0.916,21.9
0,0,0
0,0,0
16:49:26,0.916,21.9
0,0,0
0,0,0
16:49:28,0.916,21.9
0,0,0
0,0,0
16:49:30,0.916,21.9
0,0,0
0,0,0
16:49:32,0.916,21.9
0,0,0
0,0,0
16:49:34,0.916,21.9
0,0,0
0,0,0
16:49:36,0.916,21.9
0,0,0
0,0,0
16:49:38,0.916,21.9
0,0,0
0,0,0
16:49:40,0.916,21.9
0,0,0
0,0,0
16:49:42,0.916,21.9
0,0,0
0,0,0
16:49:44,0.916,21.9
0,0,0
0,0,0
16:49:46,0.916,21.9
0,0,0
0,0,0
16:49:48,0.916,21.9
0,0,0
0,0,0
16:49:50,0.916,21.9
0,0,0
0,0,0
16:49:52,0.916,21.9
0,0,0
0,0,0
16:49:54,0.916,21.9
0,0,0
0,0,0
16:49:56,0.915,21.9
0,0,0
0,0,0
16:49:58,0.916,21.9
0,0,0
0,0,0
16:50:00,0.916,21.9
0,0,0
0,0,0
16:50:02,0.916,21.9
0,0,0
0,0,0
16:50:04,0.916,21.9
0,0,0
0,0,0
16:50:06,0.916,21.9
0,0,0
0,0,0
16:50:08,0.916,21.9
0,0,0
0,0,0
16:50:10,0.916,21.9
0,0,0
0,0,0
16:50:12,0.916,21.9
0,0,0
0,0,0
16:50:14,0.916,21.9
0,0,0
0,0,0
16:50:16,0.916,21.9
0,0,0
0,0,0
16:50:18,0.916,21.9
0,0,0
0,0,0
16:50:20,0.916,21.9
0,0,0
0,0,0
16:50:22,0.916,21.9
0,0,0
0,0,0
16:50:24,0.916,21.9
0,0,0
0,0,0
16:50:26,0.916,21.9
0,0,0
0,0,0
16:50:28,0.916,21.9
0,0,0
0,0,0
16:50:30,0.916,21.9
0,0,0
0,0,0
16:50:32,0.916,21.9
0,0,0
0,0,0
16:50:34,0.916,21.9
0,0,0
0,0,0
16:50:36,0.916,21.9
0,0,0
0,0,0
16:50:38,0.916,21.9
0,0,0
0,0,0
16:50:40,0.916,21.9
0,0,0
0,0,0
16:50:42,0.916,21.9
0,0,0
0,0,0
16:50:44,0.916,21.9
0,0,0
0,0,0
16:50:46,0.916,21.9
0,0,0
0,0,0
16:50:48,0.916,21.9
0,0,0
0,0,0
16:50:50,0.916,21.9
0,0,0
0,0,0
16:50:52,0.916,21.9
0,0,0
0,0,0
16:50:54,0.916,21.9
0,0,0
0,0,0
16:50:56,0.916,21.9
0,0,0
0,0,0
16:50:58,0.916,21.9
0,0,0
0,0,0
16:51:00,0.916,21.9
0,0,0
0,0,0
16:51:02,0.916,21.9
0,0,0
0,0,0
16:51:04,0.916,21.9
0,0,0
0,0,0
16:51:06,0.916,21.9
0,0,0
0,0,0
16:51:08,0.916,21.9
0,0,0
0,0,0
16:51:10,0.916,21.9
0,0,0
0,0,0
16:51:12,0.916,21.9
0,0,0
0,0,0
16:51:14,0.916,21.9
0,0,0
0,0,0
16:51:16,0.916,21.9
0,0,0
0,0,0
16:51:18,0.916,21.9
0,0,0
0,0,0
16:51:20,0.916,21.9
0,0,0
0,0,0
16:51:22,0.916,21.9
0,0,0
0,0,0
16:51:24,0.916,21.9
0,0,0
0,0,0
16:51:26,0.916,21.9
0,0,0
0,0,0
16:51:28,0.916,21.9
0,0,0
0,0,0
16:51:30,0.916,21.9
0,0,0
0,0,0
16:51:32,0.916,21.9
0,0,0
0,0,0
16:51:34,0.916,21.9
0,0,0
0,0,0
16:51:36,0.916,21.9
0,0,0
0,0,0
16:51:38,0.916,21.9
0,0,0
0,0,0
16:51:40,0.916,21.9
0,0,0
0,0,0
16:51:42,0.916,21.9
0,0,0
0,0,0
16:51:44,0.916,21.9
0,0,0
0,0,0
