Time,Conductivity (mS),Conductivity @25*C (mS),Temperature_1,Temperature_2
13:56:50,681.60,749.22,20.25,24.25
13:56:51,683.70,763.48,19.50,24.25
13:56:52,687.10,771.37,19.25,24.50
13:56:52,688.40,768.73,19.50,24.00
13:56:53,690.10,766.56,19.75,24.25
13:56:54,691.90,785.13,18.75,24.00
13:56:55,693.20,790.87,18.50,24.00
13:56:56,695.50,772.56,19.75,24.25
13:56:57,698.10,775.45,19.75,24.25
13:56:58,699.50,789.50,19.00,24.00
13:56:59,701.80,787.88,19.25,23.75
13:57:00,702.50,784.48,19.50,24.00
13:57:01,705.00,800.00,18.75,23.75
13:57:02,706.70,793.38,19.25,24.25
13:57:03,708.90,779.23,20.25,24.25
13:57:04,710.90,793.86,19.50,24.25
13:57:05,711.80,812.09,18.50,24.25
13:57:06,714.30,793.45,19.75,24.00
13:57:07,717.20,792.49,20.00,23.50
13:57:08,719.20,807.41,19.25,24.25
13:57:09,719.90,808.20,19.25,24.25
13:57:10,721.80,801.78,19.75,23.75
13:57:11,723.30,807.71,19.50,23.75
13:57:12,726.00,819.41,19.00,24.25
13:57:13,727.50,816.73,19.25,23.50
13:57:14,729.30,810.11,19.75,24.25
13:57:15,730.60,820.21,19.25,24.00
13:57:16,733.60,827.99,19.00,24.00
13:57:17,735.00,816.44,19.75,23.50
13:57:18,735.90,830.59,19.00,24.00
13:57:19,738.20,824.34,19.50,23.75
13:57:20,740.50,818.23,20.00,23.50
13:57:21,741.80,832.78,19.25,24.00
13:57:22,744.60,835.92,19.25,24.00
13:57:23,745.00,831.94,19.50,24.50
13:57:24,747.50,825.97,20.00,23.75
13:57:25,749.60,846.05,19.00,24.25
13:57:26,751.80,844.01,19.25,24.00
13:57:27,753.90,828.69,20.25,24.00
13:57:28,754.30,842.32,19.50,24.00
13:57:29,756.50,849.28,19.25,24.00
13:57:30,757.80,837.35,20.00,24.25
13:57:31,759.20,852.32,19.25,24.00
13:57:32,761.20,863.77,18.75,24.00
13:57:33,762.30,860.38,19.00,24.00
13:57:34,763.50,834.88,20.50,24.25
13:57:35,767.30,856.84,19.50,24.25
13:57:36,768.60,858.29,19.50,24.50
13:57:36,769.50,850.28,20.00,24.00
13:57:37,770.80,851.71,20.00,24.00
13:57:38,772.70,872.12,19.00,24.25
13:57:39,774.80,865.21,19.50,24.25
13:57:40,777.00,854.08,20.25,24.00
13:57:41,778.50,864.76,19.75,24.00
13:57:42,779.60,875.22,19.25,24.00
13:57:43,781.80,877.69,19.25,23.75
13:57:44,783.70,861.45,20.25,24.25
13:57:45,785.10,876.72,19.50,24.25
13:57:46,785.20,881.50,19.25,23.75
13:57:47,787.70,870.39,20.00,24.25
13:57:48,789.40,867.71,20.25,24.00
13:57:49,790.50,901.88,18.50,24.00
13:57:50,793.20,885.76,19.50,24.00
13:57:51,793.80,881.76,19.75,24.25
13:57:52,797.70,890.79,19.50,24.25
13:57:53,797.70,895.54,19.25,24.00
13:57:54,799.60,883.54,20.00,23.75
13:57:55,801.00,880.46,20.25,24.25
13:57:56,803.00,896.71,19.50,24.00
13:57:57,804.60,908.13,19.00,24.25
13:57:58,805.00,884.86,20.25,24.25
13:57:59,807.50,887.61,20.25,24.25
13:58:00,808.40,907.55,19.25,23.75
13:58:01,810.90,896.02,20.00,24.00
13:58:02,812.00,901.97,19.75,23.75
13:58:03,814.30,909.32,19.50,24.00
13:58:04,814.20,914.06,19.25,24.25
13:58:05,815.40,891.63,20.50,24.00
13:58:06,817.90,908.53,19.75,24.00
13:58:07,819.50,915.13,19.50,24.50
13:58:08,819.80,905.86,20.00,24.00
13:58:09,822.30,899.18,20.50,24.00
13:58:10,823.50,919.60,19.50,24.00
13:58:11,825.00,921.27,19.50,24.25
13:58:12,826.80,913.59,20.00,24.00
13:58:13,828.40,915.36,20.00,23.75
13:58:14,829.70,926.52,19.50,24.00
13:58:15,831.70,928.75,19.50,23.75
13:58:16,834.10,916.85,20.25,24.25
13:58:17,834.60,917.39,20.25,24.00
13:58:17,835.20,932.66,19.50,24.25
13:58:18,838.10,945.94,19.00,23.75
13:58:19,838.90,926.96,20.00,23.25
13:58:20,840.90,924.32,20.25,23.75
13:58:21,841.50,944.71,19.25,23.50
13:58:22,843.70,937.18,19.75,24.00
13:58:23,845.10,933.81,20.00,23.50
13:58:24,845.80,939.52,19.75,24.00
13:58:25,847.90,962.16,18.75,23.50
