Time,"Conductivity, mS","Temperature, C"
16:24:13,0.71,24
0,0,0
0,0,0
16:24:15,0.711,24
0,0,0
0,0,0
16:24:17,0.712,24
0,0,0
0,0,0
16:24:19,0.713,24
0,0,0
0,0,0
16:24:21,0.714,24
0,0,0
0,0,0
16:24:23,0.714,24
0,0,0
0,0,0
16:24:25,0.714,24
0,0,0
0,0,0
16:24:27,0.715,24.1
0,0,0
0,0,0
16:24:29,0.716,24.1
0,0,0
0,0,0
16:24:31,0.717,24.1
0,0,0
0,0,0
16:24:33,0.717,24.1
0,0,0
0,0,0
16:24:35,0.718,24.1
0,0,0
0,0,0
16:24:37,0.719,24.1
0,0,0
0,0,0
16:24:39,0.719,24.1
0,0,0
0,0,0
16:24:41,0.72,24.1
0,0,0
0,0,0
16:24:43,0.721,24.1
0,0,0
0,0,0
16:24:45,0.722,24.1
0,0,0
0,0,0
16:24:47,0.722,24.1
0,0,0
0,0,0
16:24:49,0.722,24.1
0,0,0
0,0,0
16:24:51,0.723,24.1
0,0,0
0,0,0
16:24:53,0.724,24.1
0,0,0
0,0,0
16:24:55,0.725,24.1
0,0,0
0,0,0
16:24:57,0.726,24.1
0,0,0
0,0,0
16:24:59,0.727,24.2
0,0,0
0,0,0
16:25:01,0.728,24.2
0,0,0
0,0,0
16:25:03,0.728,24.2
0,0,0
0,0,0
16:25:05,0.728,24.2
0,0,0
0,0,0
16:25:07,0.729,24.2
0,0,0
0,0,0
16:25:09,0.729,24.2
0,0,0
0,0,0
16:25:11,0.729,24.2
0,0,0
0,0,0
16:25:13,0.73,24.2
0,0,0
0,0,0
16:25:15,0.731,24.2
0,0,0
0,0,0
16:25:17,0.731,24.2
0,0,0
0,0,0
16:25:19,0.732,24.2
0,0,0
0,0,0
16:25:21,0.733,24.2
0,0,0
0,0,0
16:25:23,0.733,24.2
0,0,0
0,0,0
16:25:25,0.734,24.2
0,0,0
0,0,0
16:25:27,0.734,24.2
0,0,0
0,0,0
16:25:29,0.735,24.2
0,0,0
0,0,0
16:25:31,0.736,24.2
0,0,0
0,0,0
16:25:33,0.737,24.2
0,0,0
0,0,0
16:25:35,0.738,24.3
0,0,0
0,0,0
16:25:37,0.739,24.3
0,0,0
0,0,0
16:25:39,0.739,24.3
0,0,0
0,0,0
16:25:41,0.74,24.3
0,0,0
0,0,0
16:25:43,0.74,24.3
0,0,0
0,0,0
16:25:45,0.741,24.3
0,0,0
0,0,0
16:25:47,0.741,24.3
0,0,0
0,0,0
16:25:49,0.741,24.3
0,0,0
0,0,0
16:25:51,0.742,24.3
0,0,0
0,0,0
16:25:53,0.742,24.3
0,0,0
0,0,0
16:25:55,0.743,24.3
0,0,0
0,0,0
16:25:57,0.744,24.3
0,0,0
0,0,0
16:25:59,0.745,24.3
0,0,0
0,0,0
16:26:01,0.745,24.3
0,0,0
0,0,0
16:26:03,0.745,24.3
0,0,0
0,0,0
16:26:05,0.746,24.3
0,0,0
0,0,0
16:26:07,0.747,24.3
0,0,0
0,0,0
16:26:09,0.747,24.3
0,0,0
0,0,0
16:26:11,0.748,24.3
0,0,0
0,0,0
16:26:13,0.749,24.3
0,0,0
0,0,0
16:26:15,0.749,24.3
0,0,0
0,0,0
16:26:17,0.75,24.4
0,0,0
0,0,0
16:26:19,0.751,24.4
0,0,0
0,0,0
16:26:21,0.751,24.4
0,0,0
0,0,0
16:26:23,0.751,24.4
0,0,0
0,0,0
16:26:25,0.752,24.4
0,0,0
0,0,0
16:26:27,0.753,24.4
0,0,0
0,0,0
16:26:29,0.754,24.4
0,0,0
0,0,0
16:26:31,0.754,24.4
0,0,0
0,0,0
16:26:33,0.755,24.4
0,0,0
0,0,0
16:26:35,0.756,24.4
0,0,0
0,0,0
16:26:37,0.756,24.4
0,0,0
0,0,0
16:26:39,0.757,24.4
0,0,0
0,0,0
16:26:41,0.758,24.4
0,0,0
0,0,0
16:26:43,0.758,24.4
0,0,0
0,0,0
16:26:45,0.758,24.4
0,0,0
0,0,0
16:26:47,0.759,24.4
0,0,0
0,0,0
16:26:49,0.76,24.4
0,0,0
0,0,0
16:26:51,0.76,24.4
0,0,0
0,0,0
16:26:53,0.761,24.4
0,0,0
0,0,0
16:26:55,0.762,24.4
0,0,0
0,0,0
16:26:57,0.763,24.4
0,0,0
0,0,0
16:26:59,0.763,24.4
0,0,0
0,0,0
16:27:01,0.764,24.4
0,0,0
0,0,0
16:27:03,0.765,24.4
0,0,0
0,0,0
16:27:05,0.765,24.5
0,0,0
0,0,0
16:27:07,0.765,24.4
0,0,0
0,0,0
16:27:09,0.766,24.5
0,0,0
0,0,0
16:27:11,0.766,24.5
0,0,0
0,0,0
16:27:13,0.766,24.5
0,0,0
0,0,0
16:27:15,0.767,24.5
0,0,0
0,0,0
16:27:17,0.767,24.5
0,0,0
0,0,0
16:27:19,0.767,24.5
0,0,0
0,0,0
16:27:21,0.768,24.5
0,0,0
0,0,0
16:27:23,0.769,24.5
0,0,0
0,0,0
16:27:25,0.769,24.5
0,0,0
0,0,0
16:27:27,0.77,24.5
0,0,0
0,0,0
16:27:29,0.771,24.5
0,0,0
0,0,0
16:27:31,0.772,24.5
0,0,0
0,0,0
16:27:33,0.773,24.5
0,0,0
0,0,0
16:27:35,0.773,24.5
0,0,0
0,0,0
16:27:37,0.774,24.5
0,0,0
0,0,0
16:27:39,0.774,24.5
0,0,0
0,0,0
16:27:41,0.774,24.5
0,0,0
0,0,0
16:27:43,0.774,24.5
0,0,0
0,0,0
16:27:45,0.775,24.5
0,0,0
0,0,0
16:27:47,0.775,24.5
0,0,0
0,0,0
16:27:49,0.775,24.5
0,0,0
0,0,0
16:27:51,0.776,24.5
0,0,0
0,0,0
16:27:53,0.777,24.5
0,0,0
0,0,0
16:27:55,0.778,24.5
0,0,0
0,0,0
16:27:57,0.779,24.5
0,0,0
0,0,0
