Time,"Conductivity, mS","Temperature, C"
16:41:39,0.382,23.7
0,0,0
0,0,0
16:41:41,0.382,23.7
0,0,0
0,0,0
16:41:43,0.382,23.7
0,0,0
0,0,0
16:41:45,0.382,23.7
0,0,0
0,0,0
16:41:47,0.382,23.7
0,0,0
0,0,0
16:41:49,0.382,23.7
0,0,0
0,0,0
16:41:51,0.382,23.7
0,0,0
0,0,0
16:41:53,0.382,23.7
0,0,0
0,0,0
16:41:55,0.382,23.7
0,0,0
0,0,0
16:41:57,0.382,23.7
0,0,0
0,0,0
16:41:59,0.382,23.7
0,0,0
0,0,0
16:42:01,0.382,23.7
0,0,0
0,0,0
16:42:03,0.382,23.7
0,0,0
0,0,0
16:42:05,0.382,23.7
0,0,0
0,0,0
16:42:07,0.382,23.7
0,0,0
0,0,0
16:42:09,0.382,23.7
0,0,0
0,0,0
16:42:11,0.382,23.7
0,0,0
0,0,0
16:42:13,0.382,23.7
0,0,0
0,0,0
16:42:15,0.382,23.7
0,0,0
0,0,0
16:42:17,0.383,23.7
0,0,0
0,0,0
16:42:19,0.383,23.7
0,0,0
0,0,0
16:42:21,0.383,23.7
0,0,0
0,0,0
16:42:23,0.383,23.7
0,0,0
0,0,0
16:42:25,0.382,23.7
0,0,0
0,0,0
16:42:27,0.382,23.7
0,0,0
0,0,0
16:42:29,0.382,23.7
0,0,0
0,0,0
16:42:31,0.382,23.7
0,0,0
0,0,0
16:42:33,0.382,23.7
0,0,0
0,0,0
16:42:35,0.382,23.7
0,0,0
0,0,0
16:42:37,0.382,23.7
0,0,0
0,0,0
16:42:39,0.382,23.7
0,0,0
0,0,0
16:42:41,0.382,23.7
0,0,0
0,0,0
16:42:43,0.382,23.7
0,0,0
0,0,0
16:42:45,0.382,23.7
0,0,0
0,0,0
16:42:47,0.383,23.7
0,0,0
0,0,0
16:42:49,0.383,23.7
0,0,0
0,0,0
16:42:51,0.383,23.7
0,0,0
0,0,0
16:42:53,0.383,23.7
0,0,0
0,0,0
16:42:55,0.383,23.7
0,0,0
0,0,0
16:42:57,0.383,23.7
0,0,0
0,0,0
16:42:59,0.383,23.7
0,0,0
0,0,0
16:43:01,0.383,23.7
0,0,0
0,0,0
16:43:03,0.383,23.7
0,0,0
0,0,0
16:43:05,0.383,23.7
0,0,0
0,0,0
16:43:07,0.383,23.7
0,0,0
0,0,0
16:43:09,0.383,23.7
0,0,0
0,0,0
16:43:11,0.382,23.7
0,0,0
0,0,0
16:43:13,0.383,23.7
0,0,0
0,0,0
16:43:15,0.383,23.7
0,0,0
0,0,0
16:43:17,0.382,23.7
0,0,0
0,0,0
16:43:19,0.382,23.7
0,0,0
0,0,0
16:43:21,0.382,23.7
0,0,0
0,0,0
16:43:23,0.382,23.7
0,0,0
0,0,0
16:43:25,0.382,23.7
0,0,0
0,0,0
16:43:27,0.383,23.7
0,0,0
0,0,0
16:43:29,0.383,23.7
0,0,0
0,0,0
16:43:31,0.383,23.7
0,0,0
0,0,0
16:43:33,0.383,23.7
0,0,0
0,0,0
16:43:35,0.383,23.7
0,0,0
0,0,0
16:43:37,0.383,23.7
0,0,0
0,0,0
16:43:39,0.383,23.7
0,0,0
0,0,0
16:43:41,0.383,23.7
0,0,0
0,0,0
16:43:43,0.383,23.7
0,0,0
0,0,0
16:43:45,0.382,23.7
0,0,0
0,0,0
16:43:47,0.382,23.7
0,0,0
0,0,0
16:43:49,0.382,23.7
0,0,0
0,0,0
16:43:51,0.382,23.7
0,0,0
0,0,0
16:43:53,0.383,23.7
0,0,0
0,0,0
16:43:55,0.383,23.7
0,0,0
0,0,0
16:43:57,0.383,23.7
0,0,0
0,0,0
16:43:59,0.383,23.7
0,0,0
0,0,0
16:44:01,0.383,23.7
0,0,0
0,0,0
16:44:03,0.383,23.7
0,0,0
0,0,0
16:44:05,0.382,23.7
0,0,0
0,0,0
16:44:07,0.382,23.7
0,0,0
0,0,0
16:44:09,0.382,23.7
0,0,0
0,0,0
16:44:11,0.382,23.7
0,0,0
0,0,0
16:44:13,0.383,23.7
0,0,0
0,0,0
16:44:15,0.383,23.7
0,0,0
0,0,0
16:44:17,0.383,23.7
0,0,0
0,0,0
16:44:19,0.383,23.7
0,0,0
0,0,0
16:44:21,0.383,23.7
0,0,0
0,0,0
16:44:23,0.383,23.7
0,0,0
0,0,0
16:44:25,0.383,23.7
0,0,0
0,0,0
16:44:27,0.383,23.7
0,0,0
0,0,0
16:44:29,0.383,23.7
0,0,0
0,0,0
16:44:31,0.383,23.7
0,0,0
0,0,0
16:44:33,0.383,23.7
0,0,0
0,0,0
16:44:35,0.383,23.7
0,0,0
0,0,0
16:44:37,0.383,23.7
0,0,0
0,0,0
16:44:39,0.383,23.7
0,0,0
0,0,0
16:44:41,0.383,23.7
0,0,0
0,0,0
16:44:43,0.383,23.7
0,0,0
0,0,0
16:44:45,0.383,23.7
0,0,0
0,0,0
16:44:47,0.383,23.7
0,0,0
0,0,0
16:44:49,0.383,23.7
0,0,0
0,0,0
16:44:51,0.383,23.7
0,0,0
0,0,0
16:44:53,0.383,23.7
0,0,0
0,0,0
16:44:55,0.383,23.7
0,0,0
0,0,0
16:44:57,0.383,23.7
0,0,0
0,0,0
16:44:59,0.383,23.7
0,0,0
0,0,0
16:45:01,0.383,23.7
0,0,0
0,0,0
16:45:03,0.383,23.7
0,0,0
0,0,0
16:45:05,0.383,23.7
0,0,0
0,0,0
16:45:07,0.383,23.7
0,0,0
0,0,0
16:45:09,0.383,23.7
0,0,0
0,0,0
16:45:11,0.383,23.7
0,0,0
0,0,0
16:45:13,0.383,23.7
0,0,0
0,0,0
16:45:15,0.383,23.7
0,0,0
0,0,0
16:45:17,0.383,23.7
0,0,0
0,0,0
16:45:19,0.383,23.7
0,0,0
0,0,0
16:45:21,0.383,23.7
0,0,0
0,0,0
16:45:23,0.383,23.7
0,0,0
0,0,0
16:45:25,0.383,23.7
0,0,0
0,0,0
16:45:27,0.383,23.7
0,0,0
0,0,0
16:45:29,0.383,23.7
0,0,0
0,0,0
16:45:31,0.383,23.7
0,0,0
0,0,0
16:45:33,0.383,23.7
0,0,0
0,0,0
16:45:35,0.383,23.7
0,0,0
0,0,0
16:45:37,0.383,23.7
0,0,0
0,0,0
16:45:39,0.383,23.7
0,0,0
0,0,0
16:45:41,0.383,23.7
0,0,0
0,0,0
16:45:43,0.383,23.7
0,0,0
0,0,0
16:45:45,0.383,23.7
0,0,0
0,0,0
16:45:47,0.383,23.7
0,0,0
0,0,0
16:45:49,0.383,23.7
0,0,0
0,0,0
16:45:51,0.383,23.7
0,0,0
0,0,0
16:45:53,0.383,23.7
0,0,0
0,0,0
16:45:55,0.383,23.7
0,0,0
0,0,0
16:45:57,0.383,23.7
0,0,0
0,0,0
16:45:59,0.383,23.7
0,0,0
0,0,0
16:46:01,0.383,23.7
0,0,0
0,0,0
16:46:03,0.383,23.7
0,0,0
0,0,0
16:46:05,0.383,23.7
0,0,0
0,0,0
16:46:07,0.383,23.7
0,0,0
0,0,0
16:46:09,0.383,23.7
0,0,0
0,0,0
16:46:11,0.383,23.8
0,0,0
0,0,0
16:46:13,0.383,23.7
0,0,0
0,0,0
16:46:15,0.382,23.7
0,0,0
0,0,0
16:46:17,0.382,23.7
0,0,0
0,0,0
16:46:19,0.382,23.8
0,0,0
0,0,0
16:46:21,0.382,23.7
0,0,0
0,0,0
16:46:23,0.382,23.8
0,0,0
0,0,0
16:46:25,0.382,23.7
0,0,0
0,0,0
16:46:27,0.382,23.8
0,0,0
0,0,0
16:46:29,0.382,23.8
0,0,0
0,0,0
16:46:31,0.382,23.8
0,0,0
0,0,0
16:46:33,0.382,23.8
0,0,0
0,0,0
16:46:35,0.382,23.8
0,0,0
0,0,0
16:46:37,0.382,23.7
0,0,0
0,0,0
16:46:39,0.382,23.7
0,0,0
0,0,0
16:46:41,0.382,23.8
0,0,0
0,0,0
16:46:43,0.382,23.8
0,0,0
0,0,0
16:46:45,0.382,23.8
0,0,0
0,0,0
16:46:47,0.382,23.8
0,0,0
0,0,0
16:46:49,0.382,23.8
0,0,0
0,0,0
16:46:51,0.382,23.8
0,0,0
