Time,Conductivity (mS),Temperature (C)
0,0,0
0,0,0
16:39:57,0.465,21.2
0,0,0
0,0,0
16:39:59,0.465,21.2
0,0,0
0,0,0
16:40:01,0.465,21.2
0,0,0
0,0,0
16:40:03,0.465,21.1
0,0,0
0,0,0
16:40:05,0.465,21.1
0,0,0
0,0,0
16:40:07,0.464,21.2
0,0,0
0,0,0
16:40:09,0.465,21.1
0,0,0
0,0,0
16:40:11,0.465,21.2
0,0,0
0,0,0
16:40:13,0.465,21.1
0,0,0
0,0,0
16:40:15,0.465,21.1
0,0,0
0,0,0
16:40:17,0.465,21.1
0,0,0
0,0,0
16:40:19,0.465,21.1
0,0,0
0,0,0
16:40:21,0.465,21.1
0,0,0
0,0,0
16:40:23,0.465,21.2
0,0,0
0,0,0
16:40:25,0.465,21.2
0,0,0
0,0,0
16:40:27,0.464,21.2
0,0,0
0,0,0
16:40:29,0.464,21.2
0,0,0
0,0,0
16:40:31,0.464,21.2
0,0,0
0,0,0
